Unnamed: 0_level_0,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124
1-Monoacetin,-0.15553914,-0.10977141,-0.40721954,-0.03687095,-0.17520675,-0.28062396,-0.30245264,-0.48613406,-0.28827205,-0.294,-0.3045844,-0.28444286,-0.40945437,-0.49022879,-0.30459291,-0.26088584,-0.31214584,-0.48552123,-0.27960968
1-Octadecanol,0.78337687,1.56075679,0.38513184,1.91786995,1.48293912,0.85684956,0.16076486,,0.48639302,0.28432842,-0.01264235,0.44792986,-0.27473933,,-0.02844448,0.24870656,-0.08264751,,0.27198729
"1-Octanol, 2-butyl-",2.839722738,2.823607873,-0.323712544,3.980781333,0.834483562,0.977590306,1.115892651,,1.272084427,0.586015296,0.181983137,1.562573584,-0.845748914,0.100731807,0.322783499,0.014409553,0.7329065,,1.150294964
1-Octanol,0.462314661,0.981393538,0.551706836,1.166263794,-0.918607331,0.504115739,0.278637153,-0.918251877,-0.825865607,0.318654206,0.414436774,0.354235355,0.228545997,-0.8623507,-0.856173951,0.650001984,-0.875315649,-0.91799897,-0.919435352
"1-Octene, 2-methyl-",2.2635377604,2.972358547,2.030760045,3.3193045461,,0.0005446453,0.6844946011,,-1.0407249205,-0.9465195446,-0.0604563594,0.112394422,-0.683921399,0.1165975326,-0.367601662,0.7369227393,0.9943003282,,
"1-Pentene, 3,3-dimethyl-",-0.390446346,-0.388751745,-0.389489974,4.85218011,-0.39102035,-0.390580507,-0.391700067,3.004458873,,-0.390312099,2.975524293,2.928356156,-0.392778809,-0.393434626,-0.392203959,-0.390867233,2.691273109,,2.810511969
1-Phenethylamine,,,,-0.425271521,,,,-0.43731991,,,-0.437372788,-0.437427499,,,,,-0.427272782,-0.437269667,-0.43755502
"1-Phenyl-1,2-ethanediol",1.79050346,2.08845566,,0.43256218,,1.89345189,,,,0.94794772,,,1.35602621,,-0.10231341,,1.41853803,,
1-Phenylethanol,-0.27722552,1.86748711,-0.27721867,2.21683663,-0.27722964,5.34283673,-0.27723451,-0.27722503,-0.27721877,-0.27722456,-0.27722848,-0.27723205,-0.27724224,-0.27724694,-0.27723812,-0.27722854,-0.2772427,-0.27722175,-0.27724037
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",,2.15645974,,2.6167756,,0.59457659,,,,,,,,,,,,,
"1-Propanamine, N,N-diethyl- ",0.761779299,1.14660163,0.515526378,1.661137631,0.647044417,0.174452992,0.129056219,,0.443766287,0.34844124,0.119560224,0.023342045,,-0.325229599,-0.118007393,0.182289203,-0.172909952,0.440239767,
1-Tetradecanol,-0.292355811,4.003429542,-0.289517612,-0.279899763,-0.294059267,-0.292753957,0.421629871,4.414003414,3.090148406,-0.291957409,-0.293579908,-0.295058611,-0.299277795,-0.301224046,-0.297571828,-0.293604865,-0.299469135,-0.290792788,-0.298505165
"1,1'-Biphenyl, 3,4-diethyl-",,-0.50636359,,,,,-0.52755614,-0.51091816,-0.51691017,,,,,,,,,,
"1,2-Benzenedicarboxylic acid",1.7938682,1.9970378,,,1.50027011,,,0.88268919,0.91121557,1.30302623,,,0.85554595,,0.97104501,,-0.80767691,0.93949171,-0.80767647
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",1.0171901219,2.1680844048,-0.7269135481,2.0675219795,1.2476710241,1.1183771956,0.6483799905,-0.7366199452,1.3852352765,-0.7359073382,1.3639356266,0.9742263536,0.8413269749,-0.7700668198,1.0201641604,,,2.0061011978,
"1,2-Butanediol",-0.221691143,-0.21773817,,-0.211900287,-0.223030115,-0.222004099,4.356566784,,-0.219494817,,6.227112218,3.652642406,-0.227132047,,-0.225791101,-0.22267294,0.536912437,-0.220462556,-0.226524735
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",,,,,,,-0.3705559,,,,3.2674783,-0.3696288,,,,,1.0801398,,
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",,-0.35355626,-0.35488284,,-0.35763289,,,,,,-0.35734263,,-0.3607928,,,,-0.36090866,-0.35565498,
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",,,,,,,,,,,,,,,,,,,
"1,2,3-Butanetriol",-0.496839283,-0.496175746,-0.496464807,-0.495195812,-0.49706404,-0.496891815,-0.49733019,-0.496812224,-0.496470613,-0.496786717,-0.497000793,-0.497195895,-0.497752582,-0.498009373,-0.497527493,-0.497004086,-0.497777827,3.553781424,2.96420612
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",,,,,,,,,,,,,,,,,,-0.104361477,-0.382924402
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",,0.99046217,0.90351529,3.03935113,0.70172957,,0.89721173,0.20957481,0.75143327,,0.4156715,,0.12730728,0.30571114,0.19936894,1.68315808,1.09636949,1.52859787,0.49553356
"1,3-Cyclohexanebis(methylamine)",-0.503467933,-0.501042328,-0.331080389,-0.497460112,-0.504289546,-0.200588263,-0.505262474,-0.503369014,-0.502120233,-0.503275775,-0.504058341,-0.408117134,-0.506806555,-0.507745274,-0.386573427,-0.504070379,-0.506898843,-0.502714053,-0.506433899
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",,,-0.2919628162,,,-0.3365697172,,,,,,-0.337273296,,,-0.3380405465,,,,
"1,3,5-Benzetriol",,,-0.220166192,,-0.393970794,,0.089951044,,,,,,,,,,,,-0.283805191
"1,3,5-Trimethyl-1H-pyrazol-4-amine",0.130278646,0.16978765,-0.274387088,0.6367684,-0.274413992,0.101358692,0.06583403,0.199625729,-0.274387348,0.339197133,-0.060363028,0.672648151,-0.074817131,-0.020831921,0.032018316,0.080386418,0.018763121,-0.274394642,-0.274440328
"1,4-Butanediol",1.3460483,1.8948397,,2.1362166,,1.3571448,-0.8313554,0.959125,,1.0384429,1.1762568,1.2305449,1.2115772,0.8832809,1.0870107,1.8249978,0.9497008,,
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",-0.22477185,-0.09089419,-0.37085932,-0.37025848,,-0.37106149,,-0.31800727,-0.12878769,-0.11120517,-0.25008,-0.28779226,-0.37146904,-0.1762824,-0.15223015,-0.37111465,-0.19963581,-0.37093898,-0.22659528
"1,4-Dioxaspiro[4.5]decane",2.48917368,-0.29910925,,,5.65637607,,,-0.29911382,-0.29122756,-0.29911364,-0.29911518,-0.29911658,,-0.29912242,-0.29911896,,-0.29912076,,-0.29911985
"1,5-Anhydroglucitol",-0.64872184,,-0.29858568,-0.64852103,-0.3272142,,,,-0.24693525,,,,,,,-0.27860041,,,
10-Heptadecenoic acid,,,-0.308144332,,-0.2388829829,,-0.2911112241,,-0.2821737713,-0.308202145,-0.3082405915,-0.2784662553,-0.2874358756,-0.3084217257,-0.2816664377,-0.3082411829,-0.3083801416,-0.3081745484,-0.1467847891
10-Nonadecenoic acid,-0.48257667,-0.47336495,,,-0.48569691,0.09022094,-0.4893918,-0.48220101,-0.47745851,,,-0.48752742,-0.49525576,,-0.49213092,,,,-0.49384052
12-Hydroxyoctadecanoic acid,,,,,,0.455315815,,,,,,,,,,,,,
12-Oxooctadecanoate,,,-0.0058898847,0.2262493537,0.1110208084,0.3999608267,0.0815784025,0.0541868537,0.1232223955,11.445565395,0.0456113051,0.0490361557,-0.0046489348,0.0363552899,0.0596987094,0.3314088652,-0.0121329583,,0.3019566702
13-Docosenamide,0.70906254,0.62543482,0.77700432,2.88151526,3.33101832,-0.08644421,0.996798,-0.76353091,1.05527716,0.80981362,1.38754774,0.40515652,0.14251369,0.80476982,1.5554955,0.59402424,0.71994613,0.46322436,0.2691272
"15-Oxo-11Z,13E-eicosadienoic acid",-0.4808591687,-0.4804688512,-0.4839544495,-0.4807963758,-0.4798111306,-0.4809552457,-0.4831858824,,-0.4753141435,-0.4791265736,-0.4788302593,-0.4714057774,-0.4753816633,-0.4872245326,-0.4872126503,-0.4707966714,-0.474765827,-0.469964277,-0.4746222497
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- ",0.60015075,-0.4539527,-0.02987611,1.28797673,0.84270136,-0.45491024,0.36844967,0.33825744,-0.454347,-0.4547697,1.16070009,-0.45531686,0.19170485,,,1.97699756,0.02431541,4.85938325,1.38321246
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-",-0.747402011,,0.464380812,-0.825872807,-0.038760698,,0.424220522,0.574043569,,,0.245635563,,1.047329393,,,0.693186599,0.423501918,-0.213484934,0.009115765
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",-0.57194636,-0.57104458,-0.57143743,,-0.03594682,-0.57201775,-0.57261352,-0.27610164,-0.57144532,-0.26881248,-0.57216585,-0.57243101,-0.57318756,-0.32693251,-0.41267102,-0.21405571,-0.57322187,-0.57166608,-0.57304902
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",,,,-0.01595018,-0.23122639,,,-0.05255473,,-0.09595503,,,,-0.55247227,-0.4185296,-0.24914912,,,
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,-0.40318725,-0.403159,-0.40184226,-0.39248157,-0.384666,-0.40318949,-0.40320816,-0.39891257,-0.40317155,-0.40318501,-0.40319413,-0.40037995,-0.40322614,-0.40323708,-0.3985287,-0.39763871,-0.40322722,-0.40317847,-0.4032218
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",,,-0.111535089,-0.11080174,-0.111825415,,,-0.11138335,,,,-0.111825819,,,-0.111380994,-0.111358919,,,
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",-0.388931754,,-0.388084592,-0.385213802,,0.281694985,1.58353043,-0.388870538,-0.388097727,,,,,1.458800901,-0.39048866,-0.389304579,-0.391054979,,-0.390767248
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,,,,,,-0.42746587,-0.504352992,,,,,,,-0.490279149,,,,,
"2-Allyl-1,4-dimethoxybenzene",-0.406599511,-0.492350744,-0.483572017,-0.484265089,-0.48930735,-0.43621803,-0.44900166,-0.446586693,-0.394327303,-0.432372207,-0.358829474,-0.444254728,-0.404684166,-0.473916313,-0.446900974,-0.437199477,-0.492296569,-0.439986956,-0.446013475
2-Amino-4-methylphenol,-0.19931,-0.24429392,-0.2297031,-0.21299677,-0.24471437,-0.24463285,-0.2240336,-0.24459518,-0.20867995,-0.24458311,-0.24468443,-0.20478783,-0.22810848,-0.20679557,-0.23190856,-0.24468599,-0.23518616,-0.24451038,-0.23492058
"2-Amino-4,6-dihydroxypyrimidine",0.45829933,,2.5198229,-0.86408779,,,2.77690914,,0.573897,,,0.36264266,1.33781919,1.04318793,1.91289526,,0.36182774,,0.8163357
2-Aminoadipic acid,-0.382422619,-0.381413962,-0.326113075,,,-0.382502474,-0.299258328,-0.382381485,-0.381862195,-0.382342713,-0.382668133,-0.382964712,-0.336952643,-0.384201297,-0.383468781,-0.382673138,-0.383849319,-0.382109128,-0.383655978
2-Aminobutanoic acid,,,-0.4904859822,,,,-0.3482631224,,,,,,-0.420758702,,,,,,
2-Butenedioic acid,,,,,,-0.4309502782,-0.576506131,,-0.3915392787,-0.3550480821,-0.3875693688,-0.5218169392,-0.4705381412,-0.4730959266,-0.47817542,-0.4415139139,-0.4987939096,-0.4491950593,-0.496694332
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",-0.31705915,-0.31705908,-0.31705911,-0.31705898,-0.31705917,-0.31705915,-0.3170592,-0.31705915,-0.31705911,-0.31705914,-0.31705749,-0.31705918,-0.31705924,-0.31705927,-0.31705922,-0.31705917,-0.31705924,-0.31705913,-0.31705923
2-Ethyl-3-hydroxypropionic acid,,,,,,,,,,,0.362598832,,,,,,,,
2-Furoic acid,-0.48725249,-0.45215471,1.83116922,-0.40032113,-0.49914099,-0.49003117,-0.51321896,-0.48582116,-0.46775168,-0.48447202,1.58166405,-0.50611546,1.29245813,-0.54914433,1.39941006,1.65833205,2.55979009,1.78314087,-0.53016913
"2-Heptanone, 4,6-dimethyl-",,,-0.245023406,,,,,,,,-0.245085112,,-0.245171662,,-0.245145749,-0.238423345,-0.240494558,-0.242949944,
2-Heptenoic acid,,,,,0.39736213,-0.44281828,,,,0.32805056,,,,,,0.23435714,0.1048496,-0.44216794,-0.44472543
2-Hexen-1-ol,0.983863324,1.794071908,0.492567647,2.287711008,1.161202579,,-0.589862187,0.431261728,0.432371044,-0.919026664,-0.99009937,,,0.232682437,0.464794742,-0.741939762,0.170872498,,
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",1.148523468,1.156731412,0.793917822,1.729015325,1.02351934,0.362384422,0.484954199,1.03595958,1.502557249,2.264365417,0.459157025,,,0.902851248,1.115648114,1.413314571,0.994261677,,0.973504217
2-Hydroxy-2-methylbutyric acid,-0.23287949,-0.40820772,-0.52744572,-0.31792182,-0.39982014,0.02070076,0.03871955,-0.25162164,-0.06417292,-0.19117934,-0.24565576,0.3065679,-0.20356515,-0.40549457,-0.32250841,-0.26163094,-0.49639995,-0.2070832,-0.23255175
2-Hydroxy-3-methylbutyric acid,-0.3025345,-0.302453,-0.3024885,-0.3023326,-0.3025621,-0.3004357,-0.3025947,-0.3025311,-0.3024892,-0.302528,-0.3025543,-0.3025782,-0.3026466,-0.3026781,-0.302619,-0.3025547,-0.3026497,-0.3025091,-0.3026341
2-Hydroxy-5-methoxybenzaldehyde,,,,,,-0.462037957,,,,,,,,,,,,,
2-Hydroxybutyric acid,-1.04292759,-0.09528001,-0.87195709,0.05883419,-0.11731658,-0.35598616,-0.23703404,-0.22716161,-0.0542639,-0.32812886,-0.17554357,-0.45248867,-0.39864559,-0.41586974,-0.34102142,-0.13411554,-0.53940259,-0.21377633,-0.10034798
2-Imidazolidinone,-0.3487499,-0.3383031,-0.3428541,-0.3228751,-0.3522884,-0.3495769,-0.3564787,-0.3483238,-0.3429455,2.9780586,-0.3512927,-0.3543644,-0.3631288,-0.3671718,-0.359585,-0.3513445,-0.3635263,-0.345503,-0.3615239
2-Isopropyl-5-methyl-1-heptanol,,,,,,,,,,-0.22701924,,,,,,,,,
2-Ketoisocaproic acid,,,,,0.30129259,-0.8441428,,,,-0.84392444,,,1.23976924,,1.37224149,,,1.86767263,
2-Methyl-4-pentenoic acid,,,0.48865183,1.42906715,0.62018035,,-0.32179995,-0.41278369,0.42473806,,-0.13991094,0.24564995,-0.43211443,0.29693045,-0.28080105,0.53414662,-1.2407614,1.00841133,0.32637393
2-Methyl-E-7-hexadecene,0.23160054,-0.0663181,-0.41887568,-0.41886895,-0.3809333,-0.41887794,-0.41888026,-0.41887752,-0.41887571,-0.41887738,-0.41887852,0.57831128,-0.4188825,-0.41888386,-0.41888131,1.05665841,,-0.41887657,-0.41888196
2-Methylglutaconic acid,0.346500353,0.261276182,,,1.445564424,,,,,,,0.686683855,,,,1.18094995,,,
2-Naphthol,0.617786001,0.906203206,-0.253422843,1.73744515,0.856918404,-0.249946022,-0.111458404,-0.142277828,-0.108748388,,-0.409449471,-0.280354131,-0.390948065,-0.39997192,-0.266899383,-0.033396656,-0.364985351,-0.198649728,-0.368619396
2-Oxooctanoic acid,-0.407030055,-0.4070298381,-0.4070299326,-0.4070295177,2.3510752021,-0.4070300721,4.4985096504,1.9960337511,2.3804760714,-0.4070300378,-0.4070301078,-0.4070301716,6.2176400568,1.5204022484,1.9854548488,2.3296871938,-0.4070303618,-0.4070299876,-0.4070303202
"2-Pentenedioic acid, 3-methyl-",,,,,-0.4353198,,-0.435321,-0.4353187,-0.4353172,,,,-0.4353228,-0.435324,-0.4353218,2.5701581,,,
2-Pentenoic acid,,-0.47021127,,,,,,,,,,-0.48033396,,,,-0.24406674,,,-0.32818437
2-Piperidinone,,,,-0.22985263,,-0.23048284,-0.23064573,,,,,,,-0.23089811,,-0.23052456,-0.23081207,,-0.23076481
"2-Propanone, bis(1-methylethyl)hydrazone",,,,,,,,,,,,,,,,,,,
"2-Propenamide, 3-phenyl-N-2-propenyl-",,,,,,,,,,,-0.189555763,,,-0.158911965,,,-0.1898544,,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",,-0.15074861,,,-0.15193575,,,-0.15159922,-0.15114268,,,-0.15211197,-0.15285593,-0.15319912,-0.15255512,-0.15185563,,,
"2-Propenoic acid, 2,3,3-tris[(trimethylsilyl)oxy]-",-0.232130902,,,,,,,,,,,,,,,,,,
2-Pyrrolidinone,,,,-0.40211735,,,,,,,,,,-0.400856188,-0.399696503,,,-0.401148083,
2-Trimethylsilyloxysebacic acid,-0.117924069,-0.117924054,-0.11792406,-0.117924031,-0.117923694,-0.11792407,-0.11792408,-0.117924068,-0.11792406,-0.117924068,-0.117919617,-0.117924077,-0.11792409,-0.117924096,-0.117924085,-0.117924073,-0.117924091,-0.117916567,-0.117924088
"2,2-Diallylpyrrolidine",,,,,-0.1860395904,,,,,,-0.200401642,,,,,,,-0.2006232164,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0.7211302298,1.1179490411,0.4085726814,,0.6439165406,0.0009578617,,,,0.7062446793,0.3186074757,0.3359885841,0.0942793347,-0.021655514,0.6213105854,,,0.4433058054,
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",-0.365564756,-0.245144314,-0.365564662,0.103400008,-0.365564812,-0.161076575,-0.162824712,-0.273354411,-0.365564663,-0.342445849,-0.356562515,-0.365564845,-0.365564985,-0.365511377,-0.305372515,-0.365564797,-0.365564991,-0.365564704,-0.277821042
"2,2'-Biphenyldiol",,-0.24318507,,-0.2405491,,-0.24511125,-0.24629045,-0.24489715,,-0.24482854,-0.07177494,,,-0.24811741,-0.24682118,,,,-0.24715244
"2,3-Butanediol",,,,,,,,,1.335466785,,0.873494496,1.137845853,,,,,,2.429231412,
"2,3,4-Trihydroxybutyric acid tetrakis",-0.738467221,-0.529983893,,,-0.690096563,-0.243489473,-0.485944223,-0.526800952,-0.159740471,-0.774650711,-0.384561242,-0.629971289,-0.322250619,-0.624693778,-0.593843775,-0.460575298,-0.721759075,-0.541059039,-0.254412421
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-0.462592829,-0.509066618,-0.443823577,-0.522433353,-0.519580077,-0.352705826,-0.371387524,-0.538999876,-0.357716418,-0.487982948,-0.395466065,-0.462827654,-0.325605564,-0.513628304,-0.434791933,-0.444891159,-0.496823244,-0.433111273,-0.327694017
"2,4-Decadienal",-0.464286371,-0.057622923,-0.72845735,-0.046751013,-0.399326423,-0.384135848,-0.78054717,,0.398281623,-0.038348474,-0.951704419,-0.949510206,-0.062349282,0.063555954,-0.14554911,0.486391368,-0.035975232,0.494343674,0.118838437
"2,4-Diamino-6,7-dimethylpteridine",0.6671715,1.01069566,0.69365292,1.55587706,0.54964589,0.22589274,0.14454333,0.24922097,0.38448104,0.34165328,0.22596702,0.19999089,-0.09448187,-0.18421417,0.03764554,0.39366881,-0.03409684,0.51250034,0.19012394
"2,4-Imidazolidinedione, 5,5-dimethyl-",-0.5926203,1.41566065,1.10736846,1.85979622,-0.5962761,-0.59347477,0.79808034,-0.59218016,-0.58662366,-0.59176529,3.37543768,-0.59842081,-0.60747564,-0.61165251,0.83375955,-0.59530091,-0.60788628,-0.58926588,-0.60581749
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",,0.797230669,0.664886626,1.995506624,,,-0.108756633,,,,1.15280012,,,,0.573920044,,,,
"2,5-di-tert-Butyl-1,4-benzoquinone",-0.339200783,-0.339139361,0.414703621,-0.33904865,-0.339221589,-0.339205646,-0.339246226,-0.339198279,-0.339166656,-0.339195917,-0.339215734,-0.339233794,-0.339285326,-0.339309097,-0.33926449,-0.339216039,0.696983546,-0.339181693,-0.339275889
"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",,,0.03107125,,,,,,,,,,,,,,-0.11013879,,
"2,5-Di-tert-butylhydroquinone",-0.47717139,1.77231281,3.34160012,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139,-0.47717139
"2,5-Dimethoxy-4-(n)-propylphenethylamine",,-0.33533282,-0.44042637,,,,,,,,,,,,,,,,
"2,5-Dimethoxy-4-methylamphetamine",,-0.55041001,,,-0.61319776,,-0.55291002,,,0.08153517,,0.17366261,,,,,,-0.28147453,
